city,tone,comment
Москва,positive ,"Огонь, мне очень понравилось. Спасибо! В целом тема раскрепощенности для меня супер актуальна. Можно еще добавить ораторское мастерство и так далее))"
Москва,positive ,
Москва,positive ,
Москва,positive ,Очень классная организация и интересный лектор - смог увлечь своей работой.
Москва,positive ,Все отлично хоть и попали в ливень!!!)))) ;  Хороший экскурсовод
Москва,positive ,"Все отлично, спасибо"
Москва,positive ,
Москва,positive ,Очень. Понравилось
Москва,negative ,"Это не мастер-класс. Нам выдали краски и холст. Каждый рисовал свою картинку. Художница ко мне подошла через 1,5 часа. К этому моменту картину я уже дорисовала."
Москва,positive ,
Москва,positive ,"Очень классная гид, рассказала много интересного) было бы здорово попасть на более долгую прогулку)"
Москва,positive ,"речная прогулка случилась :);  а часть экскурсовода совсем не зашла.;  то ли экскурсовод уже уставший, то ли тема ей самой не нравится + очень плохой звук наушников :("
Санкт-Петербург,positive ,Прекрасная экскурсия
Санкт-Петербург,positive ,Все чудесно!
Москва,negative ,"Коллеги, очень прошу писать понятные описания мероприятия.;  Это мероприятие звучало как прогулка по высотке, в рамках которой расскажут историю здания и мифы и легенды.;  А по факту мы просто пришли в чью-то квартиру и просидели в комнате там.;  И почти 2 часа в очень тесной и душной комнатке слушали лекцию, о которой вобще не было в описании инфо. Кем был лектор - тоже неясно, просто человек, который сейчас там арендует квартиру, даже не старожил высотки, оч странно правда."
Москва,positive ,"Всё классно, но всего 50 минут — мало :("
Москва,negative ,"Не имею художественного образования, самостоятельно рисовать не умею. Что произошло: нам раздали распечатки готовых картин и сказали рисовать, как видит ваше сердце. Художник на мастер классе не рассказывала как надо рисовать. По сути это не было мастер классом, это было занятие, где я самостоятельно рисую, а художник иногда комментирует. Плюс краски оказались не акварелью, а акрилом, просто указываю на несостыковку в названии мероприятия.;  ;  Хотелось бы, чтобы такие мастер классы проводились как условный урок рисования. Где художник вместе со всеми пошагово рисует одинаковую со всеми картину. Подобное мероприятие проводилось на лето вместе в Питере в 2021 году. От того мастер класса остались только положительные впечатления, потому что человека не бросают в одиночестве с холстом."
Санкт-Петербург,positive ,
Москва,positive ,
Москва,positive ,"В первую очень спасибо большое за возможность интересно проводить время! ;  ;  Есть комментарий/предложение - для экскурсии выдают одноразовые наушники, а потом говорят выбросить в ближайшую помойку ;  как будто бы не супер этично и экологично ;  как вариант: ;  1) собирать наушники у всех в конце прогулки, а потом как-то утилизировать в правильном месте ;  2) написать в событиях комментарий про наушники, по типу - будет аудигид, если у вас есть наушники вот такие-то, можете взять свои. если нет - мы предоставим ;  ;  но рука прям не поднимается выбросить их ;  но и хранить и использовать одноразовый наушник не хочу :("
Москва,positive ,
Москва,positive ,
Москва,positive ,"Спасибо за организацию, но подсвечу, что не понравилось ;  Экскурсия достаточно сумбурная. Теряется нить повествования. Было бы лучше если бы экскурсия была записана заранее. ;  Еще не очень приятно ждать 10 минут опоздавших, но это бывает."
Москва,positive ,"Огромное спасибо организаторам, что вошли в положение и смогли помочь с проблемой, что задерживались"
Москва,neutral ,"1. Что-то придумайте с опоздунами. Было очень неприятно ждать таких 10-15 минут съедая время прогулки ;  2. Чётко пропишите в событии, что мероприятие для взрослых. Было очень некомфортно слышать крики детей"
Санкт-Петербург,positive ,"Мероприятие понравилось, красивые цветы, приятная компания.;  НЕ ПОНРАВИЛОСЬ, что мероприятие для сотрудников Яндекса, были записаны одни девушки, но одна из девушек пришла с парнем, который присутствовал на мероприятии.;  ;  Коль мы собираемся девушками- хотелось провести время в 100% женской компании"
Москва,positive ,
Москва,positive ,
Москва,positive ,
Москва,positive ,Было оч информативно и увлекательно! Спасибо за организацию!
Москва,positive ,Все суперски.;  ;  Очень хотим бинго шоу в этом году!
Москва,positive ,
Москва,positive ,"Было довольно много людей, поэтому мы немного толкались локтями, но общее впечатление отличное)"
Москва,positive ,Спасибо вам большое
Москва,positive ,
Белград,positive ,
Москва,positive ,
Москва,positive ,
Белград,positive ,
Белград,positive ,"Очень классно, можно ещё)"
Москва,positive ,Давно периодически проскакивала мысль побывать в этом здании. Спасибо за такую возможность!
Москва,negative ,"По факту рисовали акрилом, а не акварелью (якобы это проще, но ведь заявлено было другое). Тренер ничего не объяснял, не помогал ;  Из плюсов - предоставление места и материалов"
Санкт-Петербург,positive ,
Москва,positive ,
Москва,positive ,Прогулка довольно быстро закончилась.
Москва,positive ,
Москва,positive ,"Тренировка была отличной) ;  Настроение и заряд энергии обеспечен на целый день;  Очень правильно решение мотивировать людей баном, если ты не пришел!"
Москва,positive ,
Москва,neutral ,"Мастер класс был на 3 часа. Группа закончила за 1 час.;  Ожидание - приготовление тортика. ;  Реальность - сборка тортика, т.е. все уже было готово (коржи, крем, начинка). Мы только собрали и украсили. Участие ;мастера; минимальное.;  Хотелось пройти весь процесс от приготовления до украшения"
Москва,positive ,"Мне все понравилось, но время было указано 3 часа, а мы закончили за час(сказали бы - я не пропустила бы тренировку((( )"
Москва,positive ,"очень маленькая зона для переодевания в студии, а людей на одно событие оч много"
Санкт-Петербург,positive ,
Санкт-Петербург,positive ,
Санкт-Петербург,positive ,
Москва,positive ,
Екатеринбург,positive ,"новые звуковые инструменты, очень интересно!"
Екатеринбург,positive ,"Сделайте отправку кода по смс, чтобы не искать его"
Ереван,positive ,"Дарья, преподаватель, очень круто оттанцевала нас, заряжала позитивом и давала почувствовать и себя и партнера. Настоятельно рекомендую продолжать с ней устраивать тусовки."
Белград,positive ,
Белград,positive ,
Белград,neutral ,
Белград,positive ,
Белград,positive ,
Белград,positive ,"Зашейте данные для формочки выше в сам код, пожалуйста);  Ну и да, новая система записи на мероприятия - это провал, конечно, особенно то, что на многие нельзя с +1"
Москва,positive ,
Москва,positive ,"Не нашла, где написать фидбек по самой системе записи на ивенты Лето вместе, поэтому решила написать сюда;  Очень много замечательных и интересных мероприятий, желающих тоже много, поэтому найти свободную запись на интересное мероприятие довольно нетривиальная задача. Нужно сидеть и мониторить освобождение слота.;  Хотела бы предложить рассмотреть добавление возможности ;встать в очередь; на ограниченное(можно за те же токены) количество мероприятий, на которые бы хотелось записаться, если кто-то отменит запись. При условии что на запись тратится токен, а в случае непосещения есть риск попасть в бан, то такая система вставания в очередь ограничит количество таких желающих. Так и не придется отслеживать места на ивенты в тг-каналах/на сайте, и у большего количества людей может появиться возможность сходить туда, куда им больше хочется."
Краснодар,negative ,"Привет! ;  Мне грустно, что невозможно использовать все токены, тк в Краснодаре количество мероприятий сильно ограничено. ;  И мест на них( ;  В соседних офисах мероприятий сильно больше. ;  Добавьте, пожалуйста, еще мероприятий для Краснодара😢"
Краснодар,neutral ,"Краснодар, хелп. Мы не знаем кто эти люди, что успевают за 2-3 минуты забить запись на мероприятия. Мероприятий мало, слотов не хватает. 😭😭😭 В Ростове и Сочи мероприятий в разы больше, как-то не справедливо"
Краснодар,negative ,"За 2 минуты разобрали все слоты на мероприятие. Предположу, что очень, прям очень мало слотов для посещения...;  ;  + Крайне мало мероприятий в целом (по сравнению с другими городами присутствия)"
Краснодар,negative ,"Коллеги, создается впечатление,. что Краснодар недолюбливают(( ;  Крайне мало активностей, которые моментально заканчиваются. ;  Для сравнения в Воронеже и Ростове ко-во активностей больше от 2х до 4х раз."
Ереван,positive ,"нас позвали на час раньше ждали снаружи с до 19-20, ещё певица опоздала мы с 20:00 до 21;00 просто стояли в зале и ждали часть людей ушли не дождавшись!;  ;  Сам концерт был чудесный!Спасибо за такой классный выбор программы"
Москва,positive ,
Москва,positive ,
Москва,positive ,Все понравилось
Москва,positive ,"Добавьте пледы, пожалуйста"
Москва,positive ,"Экскурсия супер топ, спасибо!"
Москва,positive ,не доплыли до москвы сити🥲;  но экскурсовод очень классная!!!!
Москва,positive ,
Москва,positive ,
Москва,positive ,Больше экскурсий
Москва,positive ,
Москва,positive ,
Москва,positive ,
Москва,positive ,Мне все понравилось
Москва,positive ,все понравилось
Москва,positive ,
Москва,negative ,"Хочется больше интерактива, каких-то интересных фишек, более харизматичного экскурсовода ;  ;  В целом было достаточно скучно"
Белград,positive ,
Екатеринбург,positive ,
Екатеринбург,positive ,
Москва,positive ,"В описании в событиях не указано, что за фильм Балабанова"
Москва,positive ,
Москва,neutral ,В целом просто просмотр фильма… хотелось бы больше увлекательной теории
Москва,neutral ,"Само мероприятие в теории неплохое, но на практике показалось не очень хорошо продуманным и из-за этого скучным. До конца дожило 4 человека ;  ;  Состояло из 3 частей: посещение операторской, лекция и фильм;  ;  1. Кино-механик как будто не очень был готов к встрече и предложил задавать ему вопросы. Показалось немного скучно и как будто лишним (хотя, понимаю, цель была показать внутреннюю сторону работы кинотеатра, но какого-то вау эффекта не вышло). Никакой особо новой и интересной информации не было ;  ;  2. Далее была лекция в маленьком зале кинотеатра. Лектор была приятная, но сама лекция показалась достаточно сумбурной и обрывистой: то ли было недостаточно времени, то ли просто так получилось. Лекция не дала особо понимания ни про город, ни про фильм. ;  ;  3. Выбор фильма - вкусовщина, конечно, но до конца дожило 4 человека. И вроде понятно, что в фильме много про город, но все равно ничего не понятно, потому что лекция не особо помогла . Фильм сложный для понимания ;  ;  Как будто проблема в том, что в одно событие решили вместить очень много активностей, а стоило сосредоточиться на чем-то одном. Например, больше времени посвятить лекции перед фильмом или взять более простой и понятный фильм (ну не только же тут про город);  ;  Всегда с удовольствием посещала события лета вместе; но тут вышла с неким недоумением. И вроде все было хорошо, но вау эффекта не получилось"
Белград,positive ,Очень классно.;  Правда жалко что нельзя с +1. Интереснее когда и с коллегами и с +1;  А ещё стоит написать в описание что сменная одежда нужна. Из «удобная одежда» не было очевидно что мы будем сильно мокрыми)
Белград,neutral ,"Лучше написать чтобы брали сменную одежду и перчатки спортивные, рукам немного больно("
Москва,positive ,
Москва,positive ,
Москва,positive ,
Москва,positive ,
Москва,positive ,Было очень жарко
Москва,positive ,
Москва,positive ,
Москва,positive ,
Москва,positive ,Было просто волшебно! Спасибо!
Москва,positive ,
Москва,positive ,
Москва,positive ,Больше пуфиков
Москва,positive ,"Великолепный концерт, прекрасный подбор треков и комментарии про сами композиции и композиторов"
Москва,positive ,Плакала весь концерт от счастья и атмосферы. Побольше бы такого для фанатов!
Белград,neutral ,- Чтобы отзыв можно было оставить без верификации ;  - больше аспектов по нутрициологии;  - больше взаимодействия с участниками. Многие просто сидели
Белград,neutral ,"В целом было очень приятно так провести время, но хотелось бы чуть больше времени уделить готовке. Мероприятие на 3 часа из которой активной готовки в группе уделяется 1,5 часа, а если выделить время готовки каждого человека, то и часа не будет.;  Хотелось бы, чтобы каждый человек участвовал в каждом процессе готовки, а не выборочно давали задание.;  Не увидела сильного уклона в нутрициологию, сам шеф сказал, что он к этому отношения не имеет);  В целом классное, легкое мероприятие, просто от названия мастер-класс было другое ожидание) Но мне все равно понравилось"
Белград,positive ,"Отличное мероприятие, спасибо! Не было нутрициолога, но всё равно очень здорово❤️"
Москва,positive ,"Были супер неудобные пуфики.;  ;  В остальном концерт чудесен, захотелось все части пересмотреть. Музыканты топ!;  ;  Добавьте в этом году бинго шоу, пожалуйста!"
Москва,positive ,"Очень классный концерт, музыканты молодцы! Отдельные слова благодарности скрипачу за композицию «Болгары и ирландцы на квиддиче»;  Но хочу отметить плохую вентиляцию на площадке, а также маленькие и помятые годами пуфики. Если на этой площадке еще будут мероприятия - прошу это учесть"
Москва,positive ,"Это было прекрасно! Спасибо большое организаторам, на 1,5 часа погрузились в волшебство. Оркестр - потрясающий! Очень круто, что была и музыка и интересные истории."
Белград,neutral ,
Москва,positive ,
Белград,positive ,
Москва,positive ,
Санкт-Петербург,positive ,Все было супер.
Санкт-Петербург,neutral ,Возможно стоить делить людей на несколько групп
Санкт-Петербург,positive ,
Санкт-Петербург,positive ,"Супер, очень хорошая команда инструкторов, отличная организация!"
Екатеринбург,positive ,Очень интересная экскурсия с фонариками
Москва,positive ,"Экскурсия прикольна, был на таких и раньше. Здесь была пара косяков;  - рассказывалось про 2 здания вначале, но они, к сожалению, оба были на ремонте, и было странно когда аудиогид говорит какое оно классное, а оно под брезентом);  - много людей. Кажется, было бы лучше разделить хотя бы на 2 группы, тк часто приходилось догонять, толпится, и тд"
Красноярск,positive ,"Классный мастер класс, все очень понравилось"
Красноярск,positive ,"Было здорово, но не хватило прохладительных напитков, летом они очень важны"
Дубай,positive ,"Lovely engagement, perhaps more game time would be good with coaches"
Дубай,positive ,It was very cool. Thank you a lot ❤️❤️❤️
Екатеринбург,positive ,
Екатеринбург,positive ,
Москва,positive ,
Москва,positive ,
Москва,positive ,Это было очень круто и релакс!! Результат супер!!
Москва,positive ,
Москва,positive ,"Просто обалденно! Кайфанула, сделала две шикарные свечи❤️"
Москва,positive ,Отлично все
Москва,positive ,
Москва,positive ,Больше таких мастер-классов🩶
Челябинск,positive ,Водоем бы получше..
Санкт-Петербург,positive ,"Прекрасное мероприятие, чтобы понять для себя основы перемещения на сапе, а так же покататься по каналам в центре города.;  ;  Подходит для любого уровня подготовки. Хороший инструктаж, жилет и шлем в комплекте. Выдавали непромокаемые чехлы для телефонов. Вещи можно было оставить в машине организаторов.;  Фото с мероприятия от организаторов - отличное дополнение.;  ;  Хотелось бы пройти на сапе дальше, чем по 1 километру в одну сторону. ;  Но во всём остальном, включая продолжительность катания в 2 часа всё очень понравилось."
Алматы,positive ,
Москва,negative ,"Странный выбор блюд - картошка с начинкой из крошки картошки и салат из фунчозы. Во первых, сами блюда фигня (тем более к теме обеда не подходят), во вторых по сути мы просто нарезали салат. И было всё слишком сумбурно, не всегда понятно что делать. Не все продукты были индивидуальные, приходилось делить на всех, а многие это делать не умеют или не хотят. Понравилось что входил напиток и он был хорош"
Москва,positive ,"Хорошая экскурсия, только у гида есть слово паразит в начале каждой фразы - «аааа..», к концу уже раздражало) по организации все супер. Хотелось бы еще пару минут для фото в стоячем положении в самой дальней локации перед разворотом"
Минск,positive ,
Москва,positive ,
Москва,positive ,Все очень понравилось) Особенно инструктор Маша очень помогала
Москва,positive ,
Москва,positive ,
Москва,positive ,
Москва,positive ,Было очень интересно и красиво!
Москва,positive ,"Очень понравилось, играла впервые. ;  Вкусно угостили, правила понятно объяснили"
Москва,positive ,Больше турниров по петанку!
Ереван,positive ,
Ереван,positive ,
Ереван,positive ,
Москва,positive ,
Москва,positive ,"Леонид очень приятный тренер, создал хорошее настроение и атмосферу"
Москва,positive ,
Москва,positive ,
Москва,positive ,
Москва,positive ,
Москва,positive ,"Обалденно, эмоции зашкаливают. Очень классно, спасибо!"
Дубай,positive ,
Москва,positive ,"Отличная тренировка, очень понравилось"
Москва,positive ,
Москва,positive ,
Москва,positive ,Больше экскурсий
Москва,positive ,Спасибо! Очень понравилось!
Москва,positive ,"Все прекрасно, очень классное мероприятие"
Москва,neutral ,"Плюсы:;  Персонал на 50% приветливый и приятный. Кураторы в футболках Лето вместе просто заиньки-солнышки. В целом, спасибо большое за возможность попробовать что-то новое);  Минусы:;  Скальники надо оплачивать отдельно ;  В раздевалках нет душа/туалета"
Москва,positive ,Игра очень понравилась! Большое спасибо!
Москва,positive ,
Москва,positive ,
Москва,positive ,
Москва,positive ,Спасибоооооо;  Просто супер!!! Буду рекомендовать друзьям этот театр)
Москва,positive ,Выдавать грамоты при победе
